Title,Description,Image URL,Address,Country,Number of Bedrooms,Number of Bathrooms,Floor Size (m2),Price (USD),Property URL
"Home For Sale, İstanbul-Anadolu 34780 Turkey","Home at İstanbul-Anadolu 34780 Turkey With 6 bedrooms, 4 bathrooms, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-135001455__0__720.jpg,İstanbul-Anadolu,Turkey,6.0,4.0,439.0,3837768,https://www.century21global.com/en/p/i̇stanbul-anadolu-34780-turkey--rl-135001455
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134603950__0__720.jpg,Ankara,Turkey,,,,3824540,https://www.century21global.com/en/p/ankara-turkey--rl-134603950
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 6 bedrooms, 6 bathrooms, Sea View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134223620__0__720.jpg,Mugla,Turkey,6.0,6.0,350.0,3821665,https://www.century21global.com/en/p/muğla-turkey--rl-134223620
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134171594__0__720.jpg,İstanbul-Avrupa,Turkey,,,439.0,3738272,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134171594
"Home For Sale, Denizli Turkey",Home at Denizli Turkey.,https://assets.xomio.com/listings/images/rl-133580041__0__720.jpg,Denizli,Turkey,,,4000.0,3666383,https://www.century21global.com/en/p/denizli-turkey--rl-133580041
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 0 bathrooms, Pool View, Park or Green Belt View.",https://assets.xomio.com/listings/images/rl-133341074__0__720.jpg,Mugla,Turkey,4.0,0.0,170.0,3666383,https://www.century21global.com/en/p/muğla-turkey--rl-133341074
"Home For Sale, İstanbul-Anadolu 34983 Turkey","Home at İstanbul-Anadolu 34983 Turkey With 10 bedrooms, 8 bathrooms, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134997322__0__720.jpg,İstanbul-Anadolu,Turkey,10.0,8.0,842.0,3623249,https://www.century21global.com/en/p/i̇stanbul-anadolu-34983-turkey--rl-134997322
"Home For Sale, Izmir Turkey",Home at Izmir Turkey.,https://assets.xomio.com/listings/images/rl-134948785__0__720.jpg,Izmir,Turkey,,,12586.0,3594493,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134948785
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134990917__0__720.jpg,İstanbul-Avrupa,Turkey,,,1100.0,3594493,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134990917
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With one bedroom, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134930515__0__720.jpg,Ankara,Turkey,1.0,0.0,700.0,3450713,https://www.century21global.com/en/p/ankara-turkey--rl-134930515
